date,trait,TA1,TA2,TA3,TA4,TA5,TA6,TA7,TA8,TA9,TN1,TN2,TN3,TN4,TN5,TN6,TN7,TN8,TN9
51316,Internode 1,35.56,42.47,43.35,37.37,24.88,34.59,34.46,25.55,34.95,33.86,35.35,37.28,28.96,34.36,25.31,28.23,27.42,35.55
51316,Internode 2,39.66,61.81,49.63,33.25,66.07,27.5,31.59,11.55,33.21,39.24,53.79,34.66,34.94,36.67,38.17,41.41,37.68,36.57
51316,Internode 3,30.43,36.25,58.2,37.65,27.5,56.5,55.15,14.73,36.03,57.73,52.09,43.77,39.86,46.68,46.57,52.64,37.47,32.14
51316,Petiole 1,58.54,50.48,70.54,83.51,43.82,54.24,56.84,42.03,37.25,29.62,67.92,58.07,40.14,58.14,51.89,40.08,19.82,40.77
51316,Petiole 2,54.54,55.34,49.34,73.61,32.69,60.13,49.09,52.9,47.35,75.98,62.14,49.07,72.71,68.76,68.53,53.38,36.2,68.95
51316,Petiole 3,37.32,43.67,27.19,50.3,44.82,75.83,75.85,65.25,49.54,56.29,51.43,55.75,71.5,56.68,69.72,52.04,71.43,61.1
51716,Internode 1,28.31,31.72,33.08,37.34,29.55,35.94,34.77,26.2,36.93,33.07,37.55,33.51,29.58,36.45,27.02,30.21,25.24,18.47
51716,Internode 2,42.07,44.41,40.83,31.12,27.26,28.97,36.04,30.01,37.33,40.1,52.54,27.18,35.08,39.28,39.03,36.66,32.8,24.28
51716,Internode 3,48.03,64.5,50.11,38.4,42.38,27.51,58.74,31.22,34.24,62.42,55.68,41.06,37.54,52,47.03,54.68,44.93,35.1
51716,Internode 4,35.6,38.68,36.9,28.24,25.37,26.63,69.12,9.58,26.15,45.47,49.22,35.37,34.25,37.3,36.72,41.28,28.39,34.69
51716,Internode 5,47.4,31.89,28.78,33.87,42.07,39.36,31.87,31.24,31.42,44.66,45.64,49.08,41.78,59.36,38.65,44.91,47.83,52.97
51716,Petiole 1,53.65,42.17,60.57,29.19,53.01,57.97,58.31,46.95,36.58,34.25,75.7,60.96,42.17,55.36,46.3,40.02,40.92,43.6
51716,Petiole 2,61.09,49.38,75.81,75.64,34.2,65.18,51.8,55.62,49.91,75.74,61.51,49.06,74.03,73.35,49.18,55.56,75.74,67.91
51716,Petiole 3,46.06,51.6,51.75,53.35,65.39,72.85,73.22,64.07,55.54,60.69,52.89,55.64,76.38,53.1,69.49,54.81,59.43,73.29
51716,Petiole 4,33.17,51.24,31.42,40.51,48.37,73.94,38.01,67.62,50.72,50.77,57.72,43.01,54.83,45.24,72.91,56.67,53.19,62.52
51716,Petiole 5,25.95,36.2,29.42,32.82,55.54,48.54,46.68,73.78,37.49,43.44,40.14,37.23,43.51,33.7,41.56,53.15,31.38,79.12